id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	condition	mpn	brand	color	size	custom_label_3	custom_label_4	sales_count_conversions_10_days	vip_price	inventory_count	release_date	sales_count_conversions_1_day	parent_sku
SK2252822-3854-13700	13412716	"Slip On Sneaker"	"FabKids White female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This is the ultimate everyday sneaker. Super light and comfy, they're also easy to slip on and off and go with everything from playdate dresses to uniforms. Slip On Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252822-3854/SK2252822-3854_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252822-3854/SK2252822-3854_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252822-3854/SK2252822-3854_Back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D13412716&mpid=13412716	"in stock"	"Apparel & Accessories > Shoes > Slip Ons"		SK2252822-3854-13700	FabKids	White	07	212	"top performer"	370	$19.95	3795	02/10/2022	20	SK2252822-3854
SA2354527-4253-13700	14125549	"Chambray Looped Front Sandal"	"FabKids Blue female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals This is sure to become your kiddo's go-to sandal! The cross-strap design, chambray details, and easy on-off strap closure makes these shoes pair easily with anything. Chambray Looped Front Sandal"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SA2354527-4253/SA2354527-4253_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2354527-4253/SA2354527-4253_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354527-4253/SA2354527-4253_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354527-4253/SA2354527-4253_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14125549&mpid=14125549	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2354527-4253-13700	FabKids	Blue	07	244	"top performer"	367	$22.95	8338	01/10/2023	81	SA2354527-4253
SA2354495-10840-13700	14125318	"Tracksole Rainbow Gladiator Sandal"	"FabKids Multi Pastel female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals They'll be able to wear this gladiator sandal with literally anything (trust us, rainbow is a neutral). Features a comfy track sole for grip and easy on-off strap. Perfect for all-day wear. Runs (a tad) small, size up if between sizes. Tracksole Rainbow Gladiator Sandal"	$36		https://fabkids-us-cdn.justfab.com/media/images/products/SA2354495-10840/SA2354495-10840_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2354495-10840/SA2354495-10840_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354495-10840/SA2354495-10840_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354495-10840/SA2354495-10840_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14125318&mpid=14125318	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2354495-10840-13700	FabKids	"Multi Pastel"	07	152	"top performer"	330	$29.95	5083	01/10/2023	28	SA2354495-10840
SK2251069-1010-13700	12740626	"Glitter Hearts Light Up Sneaker"	"FabKids White female Kids Fashion >> Girls >> Shoes >> Sneakers regular Low Top Sneakers/Sneakers Lace up sweet style in this glitter heart sneaker. The light-up sole brings unique flair while the no-shed glitter means that your little one can sparkle and shine all day long. Glitter Hearts Light Up Sneaker"	$40		https://fabkids-us-cdn.justfab.com/media/images/products/SK2251069-1010/SK2251069-1010_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2251069-1010/SK2251069-1010_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2251069-1010/SK2251069-1010_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2251069-1010/SK2251069-1010_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D12740626&mpid=12740626	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2251069-1010-13700	FabKids	White	07	100	"top performer"	328	$32.95	4626	02/28/2023	11	SK2251069-1010
SK2254244-7480-13700	14034616	"Glitter Light Up Slip On Sneaker"	"FabKids Multi female Kids Fashion >> Girls >> Shoes >> Sneakers regular Low Top Sneakers/Sneakers This sparkly sneaker is a must-have, especially when there's no time for tying laces. Features glitter that won't rub off. The best part: light-up soles! Glitter Light Up Slip On Sneaker"	$40		https://fabkids-us-cdn.justfab.com/media/images/products/SK2254244-7480/SK2254244-7480_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2254244-7480/SK2254244-7480_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2254244-7480/SK2254244-7480_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2254244-7480/SK2254244-7480_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14034616&mpid=14034616	"in stock"	"Apparel & Accessories > Shoes > Slip Ons"		SK2254244-7480-13700	FabKids	Multi	07	145	"top performer"	284	$32.95	6476	02/20/2023	45	SK2254244-7480
SK2254243-5646-52170	13883920	"Dino Light Up Multi-Strap Sneaker"	"FabKids Black male Kids Fashion >> Boys >> Shoes >> Sneakers regular Sneakers Pump up the dino fun in these light-up sneakers! The super-cushy sole brings comfort while the three easy on-off straps allow for the perfect fit. Dino Light Up Multi-Strap Sneaker"	$40		https://fabkids-us-cdn.justfab.com/media/images/products/SK2254243-5646/SK2254243-5646_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2254243-5646/SK2254243-5646_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2254243-5646/SK2254243-5646_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2254243-5646/SK2254243-5646_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D13883920&mpid=13883920	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2254243-5646-52170	FabKids	Black	07	85	"top performer"	263	$32.95	7828	09/05/2022	35	SK2254243-5646
SK2355389-5417-13600	14426116	"Rainbow Sole Athletic Sneaker"	"FabKids White Glitter female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This rainbow ombre trainer is pure magic! Super comfy thanks to the chunky sole. It's perfect for running, jumping, skipping, climbing, and spinning. Elastic laces for T5-12. Rainbow Sole Athletic Sneaker"	$40		https://fabkids-us-cdn.justfab.com/media/images/products/SK2355389-5417/SK2355389-5417_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2355389-5417/SK2355389-5417_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2355389-5417/SK2355389-5417_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2355389-5417/SK2355389-5417_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14426116&mpid=14426116	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2355389-5417-13600	FabKids	"White Glitter"	06	206	"top performer"	247	$32.95	3053	02/07/2023	17	SK2355389-5417
SA2354498-5943-64080	14125600	"Tie-Dye Active Strap Sandal"	"FabKids Tie Dye female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals Stay bright on track with this tie-dye t-strap sandal. The super-comfy sole allows your kiddo to go on long adventures. Plus, your kid can get ready in a flash thanks to the easy on-off strap. Tie-Dye Active Strap Sandal"	$30		https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5943/SA2354498-5943_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5943/SA2354498-5943_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5943/SA2354498-5943_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5943/SA2354498-5943_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14125600&mpid=14125600	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2354498-5943-64080	FabKids	"Tie Dye"	6/7	202	"top performer"	222	$22.95	4552	02/10/2023	21	SA2354498-5943
BM1931672-0001-50330	12782407	"Soft Legging"	"FabKids Black female Kids Fashion >> Girls >> Clothing >> Bottoms >> Leggings regular A year-round staple she can outfit in endless ways. Perfect combination of comfort and durability. Pair with any top or dress. Super-soft, stretchy fit. Soft Legging"	$18		https://fabkids-us-cdn.justfab.com/media/images/products/BM1931672-0001/BM1931672-0001_Main_large.jpg	https://fabkids-us-cdn.justfab.com/media/images/products/BM1931672-0001/BM1931672-0001_Alt_large.jpg	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D12782407&mpid=12782407	"in stock"	"Kids Fashion > Girls > Clothing > Bottoms > Leggings"		BM1931672-0001-50330	FabKids	Black	3T	82	"top performer"	213	$12.95	3719	02/25/2023	30	BM1931672-0001
SK2044812-10277-13700	11923858	"Dino Print Lace Up Sneaker"	"FabKids Grey female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers These kicks are dino-mite! She'll live in these dinosaur print lace up sneakers, which are perfect for fossil-hunting. Easy to slip on, easy to style. Sizes T5-12 have elastic laces. Dino Print Lace Up Sneaker"	$26		https://fabkids-us-cdn.justfab.com/media/images/products/SK2044812-10277/SK2044812-10277_main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2044812-10277/SK2044812-10277_alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2044812-10277/SK2044812-10277_back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D11923858&mpid=11923858	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2044812-10277-13700	FabKids	Grey	07	7	"top performer"	209	$22.95	681	06/11/2021	20	SK2044812-10277
SK2252893-4210-52170	13410853	"Slip On Sneaker"	"FabKids Blue male Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This is the ultimate everyday sneaker. Super light and comfy, they're also easy to slip on and off. Pairs with everything from jeans to uniforms. Slip On Sneaker"	$26		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252893-4210/SK2252893-4210_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252893-4210/SK2252893-4210_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252893-4210/SK2252893-4210_Back_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D13410853&mpid=13410853	"in stock"	"Apparel & Accessories > Shoes > Slip Ons"		SK2252893-4210-52170	FabKids	Blue	07	85	"top performer"	209	$19.95	3218	06/10/2022	38	SK2252893-4210
AT1824929-0001-13700	12018853	"Multi-Strap Sneaker"	"FabKids Black male Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers This sneaker is a wardrobe essential for everyday wear. Features adjustable straps and back pull on loop for easy on and off! Sizes T5-T6 have two straps. Multi-Strap Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/AT1824929-0001/AT1824929-0001_main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/AT1824929-0001/AT1824929-0001_back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/AT1824929-0001/AT1824929-0001_side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D12018853&mpid=12018853	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		AT1824929-0001-13700	FabKids	Black	07	129	"top performer"	206	$19.95	3018	03/01/2022	18	AT1824929-0001
SK2252820-5791-13600	14126164	"Bright Marble Lace Up Sneaker"	"FabKids Multi Swirl female Kids Fashion >> Girls >> Shoes >> Sneakers regular Sneakers The perfect all-day, everyday sneaker. Features a fluid tie-dye print that goes with anything. Cushioned insole for comfort and back pull-on loop for easy on-off. Sizes T5-12 have elastic laces. Bright Marble Lace Up Sneaker"	$29		https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5791/SK2252820-5791_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5791/SK2252820-5791_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5791/SK2252820-5791_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SK2252820-5791/SK2252820-5791_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14126164&mpid=14126164	"in stock"	"Apparel & Accessories > Shoes > Sneakers"		SK2252820-5791-13600	FabKids	"Multi Swirl"	06	3	"top performer"	201	$22.95	308	12/10/2022	25	SK2252820-5791
SA2354522-5962-52130	14124511	"Classic Cork Sole Buckle Sandal"	"FabKids Tan male Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals Get ready to explore in these comfy sandals! Straps feature an easy on-off closure. Buckles allow for the perfect fit. Classic Cork Sole Buckle Sandal"	$34		https://fabkids-us-cdn.justfab.com/media/images/products/SA2354522-5962/SA2354522-5962_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2354522-5962/SA2354522-5962_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354522-5962/SA2354522-5962_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354522-5962/SA2354522-5962_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14124511&mpid=14124511	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2354522-5962-52130	FabKids	Tan	13	304	"top performer"	186	$26.95	2934	01/10/2023	27	SA2354522-5962
SA2251079-2906-13700	12740473	"Gladiator Sandal"	"FabKids Brown female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals She can wear this on-trend sandal with literally anything. Complete with adjustable buckle strap. Perfect for all-day wear. Gladiator Sandal"	$34		https://fabkids-us-cdn.justfab.com/media/images/products/SA2251079-2906/SA2251079-2906_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2251079-2906/SA2251079-2906_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2251079-2906/SA2251079-2906_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2251079-2906/SA2251079-2906_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D12740473&mpid=12740473	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2251079-2906-13700	FabKids	Brown	07	200	"top performer"	184	$26.95	6247	02/10/2022	22	SA2251079-2906
SA2354498-5703-64080	14126137	"Daisy Active Strap Sandal"	"FabKids Black female Kids Fashion >> Girls >> Shoes >> Sandals regular Sandals Fashion just got extra comfy with these daisy t-strap sandals. The comfy sole and easy on-off strap make getting out the door a breeze. Runs small, size up if on the higher end of dual sizing. Daisy Active Strap Sandal"	$30		https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5703/SA2354498-5703_Main_large.jpg	"https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5703/SA2354498-5703_Alt_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5703/SA2354498-5703_Back_large.jpg ,https://fabkids-us-cdn.justfab.com/media/images/products/SA2354498-5703/SA2354498-5703_Side_large.jpg"	http://style.fabkids.com/dmg/39A1EB?ru=https%3A%2F%2Fwww.fabkids.com%2Findex.cfm%3Faction%3Dshop.viewproduct%26product_id%3D14126137&mpid=14126137	"in stock"	"Apparel & Accessories > Shoes > Sandals"		SA2354498-5703-64080	FabKids	Black	6/7	142	"top performer"	178	$22.95	3240	01/10/2023	17	SA2354498-5703
